column_name,role,recommended_data_type,missing_count,missing_percent,observed_values_or_range,plain_english_definition,codes_or_categories,data_quality_and_modeling_notes,documentation_basis,source_url
row_id,Row identifier,integer,0,0.00%,Observed range: 1 to 401756,Unique row identifier present in the corrected collapsed CSV. This field is not described on the official Combined Dataset column page.,Unique integer in this file; values are not consecutive.,"Treat as a file-level row key, not as student chronology. Use order_id for chronological ordering.",Observed in downloaded CSV; not officially documented,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/skill-builder-data-2009-2010
order_id,Chronology / log identifier,integer,0,0.00%,Observed range: 20224085 to 38310202,Chronological identifier for the original problem log. Lower values generally correspond to earlier logged interactions.,Unique integer in this collapsed file.,Useful for ordering a student’s interactions because the dataset has no absolute response timestamp. Do not assume equal differences in order_id represent equal elapsed time.,Official documentation + observed file,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
assignment_id,Assignment identifier,integer,0,0.00%,Observed range: 217900 to 291503,"Identifier of the assignment instance. An assignment is specific to a teacher/class, while the same problem set (sequence_id) may be assigned in multiple assignments.",Integer ID.,Mostly contextual metadata. Do not use as a numeric magnitude.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
user_id,Student identifier,integer,0,0.00%,Observed range: 14 to 96299,Anonymized identifier of the student who worked on the problem.,Integer ID.,"Primary grouping key for longitudinal student modeling. Treat as categorical/identifier, not continuous numeric data.",Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
assistment_id,ASSISTment identifier,integer,0,0.00%,Observed range: 86 to 106210,"Identifier of the ASSISTment. An ASSISTment is an instructional item that can contain a main problem and, when applicable, scaffolding problems.",Integer ID.,Multiple problem_id values can belong to the same ASSISTment.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
problem_id,Problem identifier,integer,0,0.00%,Observed range: 83 to 207348,Identifier of the specific problem presented to the student.,Integer ID.,Treat as categorical/identifier. A problem can be encountered by many students.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
original,Problem type flag,binary integer,0,0.00%,"0, 1",Indicates whether the row is the main/original problem or a scaffolding problem.,1 = main/original problem; 0 = scaffolding problem.,"For a clean next-problem correctness model, it is often reasonable to begin with original = 1 and analyze scaffolding separately.",Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
correct,Outcome / target,binary integer,0,0.00%,"0, 1","Whether the student was correct on the first attempt. In Skill Builder assignments, requesting tutoring (a hint or “Break this Problem Into Steps”) causes the problem to be marked incorrect.",1 = correct on first attempt; 0 = incorrect on first attempt or requested help.,"Common prediction target. Because help-seeking can force correct=0, it represents independent first-attempt success rather than final eventual correctness.",Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/skill-builder-data-2009-2010
attempt_count,Student behavior,integer,0,0.00%,Observed range: 0 to 3824,Number of answer attempts the student made on this problem.,Nonnegative count.,"The downloaded file contains some 0 values and a very large maximum, so inspect/outlier-handle before modeling.",Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
ms_first_response,Timing,integer milliseconds,0,0.00%,Observed range: -7759575 to 84076920,"Time from problem start until the student’s first action, measured in milliseconds. The first action may be an answer attempt or a request for help.",Milliseconds.,"The actual CSV contains negative and extremely large values, indicating data-quality issues. Do not use raw without validation, clipping/winsorization, or exclusion rules.",Official documentation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
