column_name,role,data_type,definition,calculation,leakage_and_modeling_notes
prior_interaction_count,Student history feature,nonnegative integer,Number of recorded interactions for the student before the current interaction.,"Sort by user_id and order_id; within each user_id assign a zero-based cumulative row count.","Uses only preceding rows and is leakage-safe when ordering is preserved. Measures platform experience rather than skill-specific proficiency."
min_prior_skill_interaction_count,Student-skill history feature,nonnegative integer,"Minimum number of the student's prior interactions across the Skill_* indicators active on the current row.","For each user_id and Skill_* column compute cumulative appearances excluding the current row; select active skills on the current row and take their minimum.","Uses only preceding rows. For a multi-skill row this represents experience with the least-practiced active skill."
mean_prior_skill_interaction_count,Student-skill history feature,nonnegative numeric,"Mean number of the student's prior interactions across the Skill_* indicators active on the current row.","For each user_id and Skill_* column compute cumulative appearances excluding the current row; select active skills on the current row and take their mean.","Uses only preceding rows. For a single-skill row this is the exact prior count for that skill; for a multi-skill row it averages the active-skill counts."
median_prior_skill_interaction_count,Student-skill history feature,nonnegative numeric,"Median number of the student's prior interactions across the Skill_* indicators active on the current row.","For each user_id and Skill_* column compute cumulative appearances excluding the current row; select active skills on the current row and take their median.","Uses only preceding rows. May be fractional for a row with an even number of active skills."
max_prior_skill_interaction_count,Student-skill history feature,nonnegative integer,"Maximum number of the student's prior interactions across the Skill_* indicators active on the current row.","For each user_id and Skill_* column compute cumulative appearances excluding the current row; select active skills on the current row and take their maximum.","Uses only preceding rows. For a multi-skill row this represents experience with the most-practiced active skill."
is_first_skill_interaction,Student-skill cold-start indicator,binary integer,"Indicates that the student has no prior interaction with any Skill_* indicator active on the current row.","1 when max_prior_skill_interaction_count equals 0; otherwise 0.","Uses only preceding rows. On a multi-skill row this equals 1 only when all active skills are new to the student."
student_prior_attempts,Student history feature,nonnegative integer,Total number of answer attempts made by the student before the current interaction.,"Within each user_id ordered by order_id, cumulatively sum attempt_count and subtract the current row's attempt_count.","Uses only preceding rows. This is different from prior_interaction_count because an interaction can contain multiple answer attempts."
student_prior_correct,Student history feature,nonnegative integer,Number of the student's prior interactions with correct equal to 1.,"Within each user_id ordered by order_id, cumulatively sum correct and subtract the current row's correct value.","Uses only preceding outcomes. Counts first-attempt successes rather than eventual correctness or total correct answer attempts."
student_prior_accuracy,Student history feature,numeric proportion,Proportion of the student's prior interactions with correct equal to 1.,"student_prior_correct divided by prior_interaction_count; fill the undefined first-interaction value with 0.","Uses only preceding outcomes. Range is 0 to 1. A filled 0 with no_prior_history equal to 1 means unavailable history rather than observed zero accuracy."
student_recent_accuracy_3,Student recent-history feature,numeric proportion,Mean first-attempt correctness over up to the student's 3 most recent prior interactions.,"Within each user_id, shift correct by one row and take a trailing rolling mean with window 3 and min_periods 1; fill the undefined first-interaction value with 0.","Uses only preceding outcomes and available history when fewer than 3 prior interactions exist. Use no_prior_history and insufficient_history_3 to distinguish unavailable or incomplete history."
student_recent_accuracy_5,Student recent-history feature,numeric proportion,Mean first-attempt correctness over up to the student's 5 most recent prior interactions.,"Within each user_id, shift correct by one row and take a trailing rolling mean with window 5 and min_periods 1; fill the undefined first-interaction value with 0.","Uses only preceding outcomes and available history when fewer than 5 prior interactions exist. Use no_prior_history and insufficient_history_5 to distinguish unavailable or incomplete history."
student_recent_accuracy_10,Student recent-history feature,numeric proportion,Mean first-attempt correctness over up to the student's 10 most recent prior interactions.,"Within each user_id, shift correct by one row and take a trailing rolling mean with window 10 and min_periods 1; fill the undefined first-interaction value with 0.","Uses only preceding outcomes and available history when fewer than 10 prior interactions exist. Use no_prior_history and insufficient_history_10 to distinguish unavailable or incomplete history."
student_correct_streak,Student recent-history feature,nonnegative integer,Number of consecutive correct interactions immediately preceding the current interaction.,"Compute consecutive runs where correct equals 1 within each user_id and shift the completed run length by one row.","Uses only preceding outcomes. Equals 0 when the immediately preceding interaction was incorrect or when no prior interaction exists."
student_incorrect_streak,Student recent-history feature,nonnegative integer,Number of consecutive incorrect interactions immediately preceding the current interaction.,"Compute consecutive runs where correct equals 0 within each user_id and shift the completed run length by one row.","Uses only preceding outcomes. Equals 0 when the immediately preceding interaction was correct or when no prior interaction exists."
no_prior_history,Student cold-start indicator,binary integer,Indicates that the student has no recorded interaction before the current row.,"1 when prior_interaction_count equals 0; otherwise 0.","Leakage-safe because it uses only the count of preceding rows. Distinguishes zero-filled accuracy values caused by absent history from observed zero accuracy."
insufficient_history_3,Student history-support indicator,binary integer,Indicates that fewer than 3 student interactions precede the current row.,"1 when prior_interaction_count is less than 3; otherwise 0.","Leakage-safe. The corresponding recent accuracy still uses all available prior outcomes."
insufficient_history_5,Student history-support indicator,binary integer,Indicates that fewer than 5 student interactions precede the current row.,"1 when prior_interaction_count is less than 5; otherwise 0.","Leakage-safe. The corresponding recent accuracy still uses all available prior outcomes."
insufficient_history_10,Student history-support indicator,binary integer,Indicates that fewer than 10 student interactions precede the current row.,"1 when prior_interaction_count is less than 10; otherwise 0.","Leakage-safe. The corresponding recent accuracy still uses all available prior outcomes."
min_skill_prior_attempts,Student-skill history aggregate,nonnegative integer,Minimum total prior answer attempts across the skills active on the current row.,"For each active skill, sum attempt_count over the student's preceding interactions tagged with that skill; take the minimum across active skills.","Uses only preceding interactions. A multi-skill interaction contributes its attempt_count to each active skill's history."
mean_skill_prior_attempts,Student-skill history aggregate,nonnegative numeric,Mean total prior answer attempts across the skills active on the current row.,"For each active skill, sum attempt_count over the student's preceding interactions tagged with that skill; take the mean across active skills.","Uses only preceding interactions. A multi-skill interaction contributes its attempt_count to each active skill's history."
median_skill_prior_attempts,Student-skill history aggregate,nonnegative numeric,Median total prior answer attempts across the skills active on the current row.,"For each active skill, sum attempt_count over the student's preceding interactions tagged with that skill; take the median across active skills.","Uses only preceding interactions. May be fractional for a row with an even number of active skills."
max_skill_prior_attempts,Student-skill history aggregate,nonnegative integer,Maximum total prior answer attempts across the skills active on the current row.,"For each active skill, sum attempt_count over the student's preceding interactions tagged with that skill; take the maximum across active skills.","Uses only preceding interactions. A multi-skill interaction contributes its attempt_count to each active skill's history."
